Plan,Plan Type,Prioritized Requirements (USD),Funding received (USD),Unfunded (USD),Coverage (%),Full Requirements (USD),People in Need,People Targeted,People Prioritized
Escalation of Hostilities in the OPT,FA,4064305808,1606243326,2458062482,39.5,4060000000,3600000,3000000,3000000
Syrian Arab Republic Regional Refugee and Resilience Plan (3RP),REG,2800721613,326589203,2474132410,11.7,2800721613,15312704,8565035,8565035
Sudan,HNRP,2143603358,1177720310,965883048,54.9,2866228594,33700000,20419163,13965846
Ukraine,HNRP,2049194156,1613689529,435504627,78.7,2310000000,10800000,4120000,3580000
République Démocratique du Congo,HNRP,1699827506,1022787710,677039796,60.2,1400000000,14900000,7300000,4700000
Yemen,HNRP,1596138530,434785816,1161352714,27.2,2470000000,23100000,10500000,8800000
Syrian Arab Republic,HNRP,1539672828,878207817,661465011,57.0,3190000000,16500000,10300000,8200000
South Sudan,HNRP,1042108966,484710529,557398437,46.5,1463046056,10000000,4300000,4100000
Haiti,HNRP,680379644,415399671,264979973,61.1,893000000,6400000,4200000,3600000
Lebanon,FA,639875890,317519063,322356827,49.6,,,,
Tchad,HNRP,620188576,323877699,296310877,52.2,975000000,4000000,2900000,1500000
Rohingya Humanitarian Crisis Joint Response Plan,REG,610688472,352664084,258024388,57.7,698375266,1890109,1557361,1270209
Myanmar,HNRP,521070982,316322032,204748950,60.7,890000000,16200000,4900000,2600000
Nigeria,HNRP,516399424,358925726,157473698,69.5,516000000,5900000,2500000,2500000
Afghanistan,HNRP,465232523,459411341,5821182,98.7,1710000000,22000000,17600000,3900000
Venezuela Regional Refugee and Migrant Response Plan (RMRP),REG,450739267,95058067,355681200,21.1,763092350,6853248,1524936,1030251
Uganda,REG,423000000,275968251,147031749,65.2,828700000,2225443,2225443,1784424
Colombia,HNRP,369182128,281268746,87913382,76.2,384000000,6900000,2600000,2600000
Sudan Emergency:,REG,353306192,74571455,278734737,21.1,2866228594,33700000,20419163,13965846
Burkina Faso,HNRP,350362294,122501915,227860379,35.0,662000000,4400000,3100000,1600000
Somalia,HNRP,349999999,239485786,110514213,68.4,850000000,4800000,2400000,1600000
Mali,HNRP,329221931,124725108,204496823,37.9,551000000,5100000,3800000,2000000
Cameroon,HNRP,268368745,82061491,186307254,30.6,308000000,2900000,1800000,1000000
Mozambique,HNRP,265305908,218074494,47231414,82.2,347649862,1628468,1125955,919494
Venezuela,HNRP,244809343,244809343,0,100.0,606000000,7900000,5400000,900000
République Centrafricaine,HNRP,214778613,113155563,101623050,52.7,264200000,2300000,1300000,932200
Niger,HNRP,96492592,81047445,15445147,84.0,449000000,2600000,1600000,0
Cuba Plan of Action – Response to Hurricane Melissa,Other,81755350,27506639,54248711,33.6,,,,
Islamic Republic of Iran Flash March - May,REG,80000000,41623958,38376042,52.0,,,,
Nepal Rasuwa Flood,FA,49568000,10149025,39418975,20.5,,,,
for Horn of Africa to Yemen and Southern Africa,REG,25432136,10813741,14618395,42.5,91140365,1682194,1197958,664116
Global Humanitarian Overview (Plan not yet defined),Other,0,1393600359,0,0,,,,
